,PV Panel,Solar Shingle,,
Manufacturer,Suniva,Certainteed,,
Model,OPT335-72-4-100,Apollo II,,
Quantity Included in ESM System,8,24,,
Power Classification (Pmax - W),335,60,,
Module Efficiency (%),17.18,14.70,,
Voltage at Max. Power Point (Vmp - V),37.70,7.06,,
Current at Max. Power Point (Imp - A),8.89,8.46,,
Open Circuit Voltage (Voc - V),45.90,9.25,,
Short Circuit Current (Isc - A),9.66,8.80,,
Module Dimensions,1970 x 990 mm (77.6 x 39 in.),1187.5 x 447.7 mm (46-3/4 x 17-5/8 in.),,
Module Thickness,38 mm (1.5 in.),28.6 mm (1-1/8 in.),,
Approximate Weight,23 kg (50.7 lbs.),5.44 kg (12 lbs.),,
